,SN,Y,X,Northing
0,453001250,50.6808205,4.644346,20.179
1,453003484,50.680517833,4.644808167,16.054
2,453003625,50.6781673335,4.647965083,-36.423500000000004
3,453004444,50.678621167,4.6479485835,36.477000000000004
4,453004465,50.679453583500006,4.6476133335,28.8865
5,453004512,50.681209167,4.6440255,21.85
6,453004639,50.680012167,4.646786833,-15.039
7,453004744,50.680327667,4.645457,38.378
8,453004823,50.682038667,4.643261667,34.964
9,453013956,50.680211167,4.646080333,-38.349
10,453019524,50.679055500000004,4.64786675,27.603
11,453020066,50.681615167,4.643634167,53.158
